# Raaijmakers et al. 2021
# PP model
# M_TOV  prob  
1.84563 0.02385
1.86486 0.04248
1.88408 0.08803
1.90409 0.21587
1.92263 0.35353
1.93888 0.70208
1.95499 0.95141
1.96516 1.36443
1.98312 1.69310
1.98916 1.89224
1.98929 2.21357
2.00255 2.74970
2.00292 2.37154
2.01422 3.14847
2.02201 2.93517
2.04006 3.06356
2.04405 3.56689
2.04953 3.98588
2.06085 3.58520
2.08157 3.64177
2.08654 4.14688
2.08824 3.83833
2.10538 3.73647
2.10691 4.27148
2.12526 3.67247
2.13478 2.84231
2.13623 3.37546
2.14868 2.88815
2.15647 2.66361
2.16857 2.40416
2.17498 2.71927
2.18527 2.62648
2.18709 2.06480
2.19709 2.30057
2.20095 1.49960
2.20566 2.00618
2.21929 1.61248
2.23624 1.50798
2.24644 1.30178
2.26485 1.10949
2.28593 1.02843
2.30028 1.03415
2.31389 0.72951
2.33324 0.57226
2.34928 0.50237
2.36050 0.43879
2.37868 0.46613
2.39844 0.31318
2.41064 0.20562
2.42455 0.31593
2.43125 0.10515
2.44738 0.11390
2.46839 0.12834
2.48717 0.11088
2.50532 0.12296
2.52548 0.09961
2.54471 0.05806
2.56393 0.04923
2.58246 0.03314
