# Raaijmakers et al. 2021
# PP model
# M_TOV  prob  
1.88404 0.05072
1.90326 0.02347
1.92248 0.06919
1.94215 0.15403
1.96093 0.24134
1.98034 0.36753
1.99938 0.52421
2.01823 0.80384
2.03674 1.09015
2.05490 1.26599
2.07453 1.49605
2.08821 1.76582
2.10512 1.87338
2.12522 1.91536
2.14386 1.93172
2.15667 2.80951
2.15831 2.14053
2.15842 2.47881
2.18051 2.51812
2.18813 2.99026
2.19862 3.31555
2.19937 2.45946
2.20823 2.47662
2.21784 3.62068
2.21653 3.73268
2.22032 4.41848
2.23357 5.18436
2.23503 4.66529
2.23602 4.89059
2.24056 5.51194
2.25455 5.22096
2.25935 4.87720
2.26678 4.25077
2.27338 4.43182
2.28845 3.43131
2.28338 4.35041
2.28975 3.29782
2.30884 2.91613
2.32358 2.69111
2.32970 2.34812
2.33669 1.84173
2.35137 1.57404
2.35858 1.18290
2.37688 1.04533
2.38213 0.71858
2.39698 0.67109
2.40160 0.27102
2.41324 0.17385
2.42931 0.09892
2.44854 0.08816
2.46776 0.06777
2.48948 0.06360
